 121112 15:53:48	   85 Query	select piilogged0_.id as id235_, date as date235_, piilogged0_.event_id as event7_235_, piilogged0_.owner as owner235_, piilogged0_.piiAttributeName as piiAttri4_235_, piilogged0_.piiAttributeValue as piiAttri5_235_, piilogged0_.piiUid as piiUid235_ from piiH piilogged0_ where piilogged0_.owner=1 order by piilogged0_.piiUid, date ASC
121112 15:54:14	   85 Query	select piiuniquei0_.id as id228_, piiuniquei0_.uniqueId as uniqueId228_ from piiuniqueid piiuniquei0_ cross join PIITYPE piitype1_ where piiuniquei0_.id=piitype1_.HJID and piiuniquei0_.uniqueId=11352731546631961 and piitype1_.OWNER=1
		   85 Query	SET autocommit=1
		   85 Query	select piiuniquei0_.id as id228_, piiuniquei0_.uniqueId as uniqueId228_ from piiuniqueid piiuniquei0_
		   85 Query	SET autocommit=0
		   85 Query	update PIITYPEPOLICYSETORPOLICYITEM set POLICYSETORPOLICYITEMS_PIITY_0=null where POLICYSETORPOLICYITEMS_PIITY_0=3
		   85 Query	update AUTHORIZATIONSSETTYPEAUTHORI_0 set AUTHORIZATIONITEMS_AUTHORIZA_0=null where AUTHORIZATIONITEMS_AUTHORIZA_0=3
		   85 Query	update AUTHORIZATIONTYPEANYITEM set ANYITEMS_AUTHORIZATIONTYPE_H_0=null where ANYITEMS_AUTHORIZATIONTYPE_H_0=3
		   85 Query	update OBLIGATION set OBLIGATION_OBLIGATIONSSET_0__0=null where OBLIGATION_OBLIGATIONSSET_0__0=3
		   85 Query	update TRIGGERSSETTRIGGERITEM set TRIGGERITEMS_TRIGGERSSET_HJID=null where TRIGGERITEMS_TRIGGERSSET_HJID=5
		   85 Query	update TRIGGERSSETTRIGGERITEM set TRIGGERITEMS_TRIGGERSSET_HJID=null where TRIGGERITEMS_TRIGGERSSET_HJID=6
		   85 Query	delete from PIITYPEPOLICYSETORPOLICYITEM where HJID=3
		   85 Query	delete from POLICYTYPE_0 where HJID=3
		   85 Query	delete from POLICYTYPE where HJID=3
		   85 Query	delete from STICKYPOLICYTYPE where HJID=3
		   85 Query	delete from COMMONDHPSPTYPE where HJID=3
		   85 Query	delete from AUTHORIZATIONSSETTYPEAUTHORI_0 where HJID=3
		   85 Query	delete from AUTHORIZATIONTYPEANYITEM where HJID=3
		   85 Query	delete from AUTHZDOWNSTREAMUSAGE where HJID=3
		   85 Query	delete from AUTHORIZATIONTYPE where HJID=3
		   85 Query	delete from AUTHORIZATIONSSETTYPE where HJID=3
		   85 Query	delete from OBLIGATION where HJID=5
		   85 Query	delete from ACTIONDELETEPERSONALDATA where HJID=5
		   85 Query	delete from ACTION_ where HJID=5
		   85 Query	delete from TRIGGERSSETTRIGGERITEM where HJID=5
		   85 Query	delete from TRIGGERATTIME where HJID=5
		   85 Query	delete from TRIGGER_ where HJID=5
		   85 Query	delete from DURATION where HJID=5
		   85 Query	delete from DATEANDTIME where HJID=3
		   85 Query	delete from TRIGGERSSET where HJID=5
		   85 Query	delete from OBLIGATION where HJID=6
		   85 Query	delete from ACTIONNOTIFYDATASUBJECT where HJID=6
		   85 Query	delete from ACTION_ where HJID=6
		   85 Query	delete from TRIGGERSSETTRIGGERITEM where HJID=6
		   85 Query	delete from TRIGGERPERSONALDATASENT where HJID=6
		   85 Query	delete from TRIGGER_ where HJID=6
		   85 Query	delete from DURATION where HJID=6
		   85 Query	delete from TRIGGERSSET where HJID=6
		   85 Query	delete from OBLIGATIONSSET_0 where HJID=3
		   85 Query	delete from PIITYPE where HJID=3
		   85 Query	delete from piiuniqueid where id=3
		   85 Query	commit
		   85 Query	SET autocommit=1
		   85 Query	select piilogged0_.id as id235_, date as date235_, piilogged0_.event_id as event7_235_, piilogged0_.owner as owner235_, piilogged0_.piiAttributeName as piiAttri4_235_, piilogged0_.piiAttributeValue as piiAttri5_235_, piilogged0_.piiUid as piiUid235_ from piiH piilogged0_ where piilogged0_.owner=1 order by piilogged0_.piiUid, date ASC
